Datas,Papel,Abertura,Alta,Baixa,Fechamento,Volume,MMS9,MME50,DesvioPadrao,BandaSuperior,BandaInferior,IFR,Max20,Min20,FechamentoSeguinte
2019-12-16,BBAS3,41.25679976284236,41.671399882363566,40.503753662109375,40.503753662109375,12007400,40.88262515597873,39.80139263750218,0.9337923342489594,42.66034083582303,38.92517149882719,53.06468769969994,41.38371658325195,38.297359466552734,41.41755294799805
2019-12-17,BBAS3,40.73219494506965,41.41755294799805,40.546047609725896,41.41755294799805,10542000,40.886454264322914,39.86477147320791,0.9306237226192547,42.784353552083324,39.0618586616063,59.35770805522938,41.41755294799805,38.297359466552734,42.84749984741211
2019-12-18,BBAS3,41.248334177277364,42.90672796647707,41.14680071997892,42.84749984741211,20459600,41.08850606282552,39.98174121337279,0.9823991994213181,43.07467832604434,39.145081528359064,66.87405797920928,42.84749984741211,38.7782096862793,43.287479400634766
2019-12-19,BBAS3,42.559816014861525,43.28747940063477,42.37367189427757,43.287479400634766,12193800,41.3581788804796,40.11137800503014,1.0848277767166559,43.45266170133814,39.11335059447152,68.78684987426202,43.287479400634766,38.7782096862793,43.2028694152832
2019-12-20,BBAS3,43.10979573967015,43.236711747395944,42.509051577773434,43.2028694152832,9537300,41.60439978705512,40.232612962294986,1.1745205802841712,43.829668740690856,39.131586419554175,68.01781828956503,43.287479400634766,38.7782096862793,44.505897521972656
2019-12-23,BBAS3,43.11826164955526,44.50589752197266,42.93211749953948,44.505897521972656,8803400,42.06096861097548,40.40019274894903,1.3630933629989386,44.53822098614081,39.08584753414505,73.25118685477925,44.505897521972656,38.7782096862793,45.01356887817383
2019-12-26,BBAS3,44.40436165870576,45.064333994669155,44.29436519348169,45.01356887817383,10031600,42.58050198025174,40.58110945989905,1.4973430940643475,45.17278295936893,39.18341058311154,74.98083421010067,45.01356887817383,39.90782165527344,44.81895446777344
2019-12-27,BBAS3,45.14047757908804,45.41123558213718,44.21820712254879,44.81895446777344,8633100,42.9621950785319,40.74729946020786,1.6254587346779756,45.83103027342201,39.3291953347101,73.0847912671234,45.01356887817383,39.98370361328125,44.69203567504883
2019-12-30,BBAS3,44.928948123091345,45.1320182411921,44.69203567504882,44.69203567504883,7839900,43.365512424045136,40.90199499804478,1.7094827584650127,46.39492078648347,39.55698975262342,71.74794398772525,45.01356887817383,39.98370361328125,45.52123260498047
2020-01-02,BBAS3,45.14047814972623,45.665074611494305,44.98817636762453,45.52123260498047,13159900,43.92301008436415,41.0831415708658,1.8397208166291295,47.03153472296884,39.67265145645233,74.90421956666437,45.52123260498047,39.98370361328125,45.44508361816406
2020-01-03,BBAS3,44.92895013804691,45.61430818622233,44.717420234896615,45.44508361816406,9465400,44.37051349216037,41.25419812174026,1.897632549131184,47.54580401094881,39.95527381442407,74.04556108763019,45.52123260498047,40.3377685546875,44.844337463378906
2020-01-06,BBAS3,45.182786584367214,45.182786584367214,44.37897234278751,44.844337463378906,9999900,44.592384338378906,41.39498789984375,1.9247370568925781,47.99461155385973,40.295663326289414,67.77072668930276,45.52123260498047,40.3377685546875,44.505897521972656
2020-01-07,BBAS3,44.844346712767944,44.86972927238585,44.24360246541248,44.505897521972656,10638500,44.72776412963867,41.51698435561352,1.9408444769783915,48.307584991665415,40.54420708375185,64.43830685326301,45.52123260498047,40.3377685546875,44.09975814819336
2020-01-08,BBAS3,44.641274243298675,44.83588461593702,44.03207025015046,44.09975814819336,21468600,44.82741843329536,41.61826960238137,1.9118560606610493,48.36344982273811,40.71602558009392,60.570470100670256,45.52123260498047,40.3377685546875,43.2028694152832
2020-01-09,BBAS3,44.16744527583629,44.277441731350834,42.92364838844403,43.2028694152832,24743000,44.682637532552086,41.68041077151478,1.8453366980641415,48.22271928069416,40.84137248843759,53.04381367218776,45.52123260498047,40.3377685546875,42.187530517578125
2020-01-10,BBAS3,43.28748552790626,43.524398020924146,41.93369524253173,42.187530517578125,15348200,44.36863327026367,41.70029782038001,1.7915914147826875,48.02292517797624,40.85655951884549,46.05839705662545,45.52123260498047,40.3377685546875,42.66135025024414
2020-01-13,BBAS3,42.289058774533224,42.72904137002263,41.975995414783355,42.66135025024414,14181900,44.12889946831597,41.73798615096291,1.675295015684143,47.622646264167464,40.921466201430896,49.36720702822094,45.52123260498047,40.3377685546875,42.43289566040039
2020-01-14,BBAS3,42.54288887520771,42.72057642930001,42.09444655780441,42.43289566040039,8765000,43.87788391113281,41.76523750427419,1.5420309104698853,47.121511397577734,40.95338775569819,47.82129777312828,45.52123260498047,40.503753662109375,41.65446472167969
2020-01-15,BBAS3,42.2467490474188,42.3228999354094,41.33293839153161,41.65446472167969,14501900,43.4482430352105,41.760893473584204,1.5246569813301498,46.79908265328974,40.70045472796914,42.91345773956575,45.52123260498047,40.503753662109375,41.84061050415039
2020-01-16,BBAS3,41.8575332817092,42.11982826464638,41.44293330074268,41.84061050415039,11872600,43.04774602254232,41.76401963164563,1.4709505652362098,46.43244935102018,40.54864709007535,44.4100684938025,45.52123260498047,40.503753662109375,42.407508850097656
2020-01-17,BBAS3,42.18751919813429,42.53442806741214,42.077522758307715,42.407508850097656,11421800,42.77698728773329,41.789254502957476,1.3257623008052595,45.859007026259846,40.55595782303881,48.750848173664515,45.52123260498047,41.41755294799805,42.136749267578125
2020-01-20,BBAS3,42.30597380834945,42.602114333932036,41.68830697807031,42.136749267578125,8498300,42.51374859280057,41.80288174862887,1.2742156164722258,45.455155989358694,40.35829352346979,46.88333491946067,45.52123260498047,41.65446472167969,40.91835403442383
2020-01-21,BBAS3,41.92523543420887,42.00984935080271,40.656055734519256,40.91835403442383,14479200,42.16025924682617,41.768194387287494,1.3983898520385494,45.34659687604088,39.753037467886685,39.517074728933565,45.52123260498047,40.91835403442383,41.239864349365234
2020-01-22,BBAS3,41.2990924539946,41.45139421666715,40.85910994268386,41.239864349365234,10459400,41.94214757283529,41.747475562270935,1.4846714326778203,45.222247930718744,39.28356220000746,42.08733407463724,45.52123260498047,40.91835403442383,43.55824279785156
2020-01-23,BBAS3,41.07065198304448,43.55824279785156,40.935272956953426,43.55824279785156,21624500,42.09444893731011,41.81848604209763,1.4847354306500344,45.17314725845028,39.234205535850144,56.51525558313416,45.52123260498047,40.91835403442383,42.98287582397461
2020-01-24,BBAS3,43.49054952991367,43.558237420758104,42.98287582397461,42.98287582397461,9150300,42.130174001057945,41.86414838648496,1.463084539270194,45.10984605829891,39.25750790121813,52.962821571540076,45.52123260498047,40.91835403442383,42.55982971191406
2020-01-27,BBAS3,42.35676274634384,43.211342412860034,42.077541634070755,42.55982971191406,12015900,42.14427778455946,41.89143000709003,1.4146319882860805,45.04678633763395,39.38825838448963,50.48794253767327,45.52123260498047,40.91835403442383,42.90673828125
2020-01-28,BBAS3,42.982889199453105,43.27903309366126,42.37368508151946,42.90673828125,7646400,42.28341929117838,41.931246017841396,1.3620665571224642,44.963963478125436,39.51569724963558,52.48070832461849,45.52123260498047,40.91835403442383,41.849082946777344
2020-01-29,BBAS3,43.15210816402304,43.47363457958682,41.76447226106145,41.849082946777344,8400200,42.28436067369249,41.92802393662319,1.334127256764586,44.85501099435304,39.518501967294696,46.39093763824201,45.52123260498047,40.91835403442383,42.136749267578125
2020-01-30,BBAS3,41.206019134870296,42.29751403377123,40.92679815844416,42.136749267578125,12539900,42.254276275634766,41.93620924371947,1.1982505203689353,44.62710157118886,39.834099489713125,48.16315358432692,45.44508361816406,40.91835403442383,41.07065200805664
2020-01-31,BBAS3,41.5529399905304,41.56139976755161,40.79989395570964,41.07065200805664,16126400,42.13582102457682,41.902265822713076,1.079227862773026,44.31906002907944,40.00214857798733,42.57118604571311,44.844337463378906,40.91835403442383,41.27371597290039
2020-02-03,BBAS3,41.07910883846585,41.57831956686414,40.62220344752023,41.27371597290039,10201400,42.175305684407554,41.87761680899493,0.9713659866547621,44.0002641970977,40.114800250478645,43.88271321759813,44.505897521972656,40.91835403442383,40.82527160644531
2020-02-04,BBAS3,41.70523678462885,41.96753180073092,40.82527160644531,40.82527160644531,11766600,42.129239824083115,41.83634836967926,0.8931714463179247,43.72464987450286,40.15196408923116,41.58171117359444,44.09975814819336,40.82527160644531,42.64443588256836
2020-02-05,BBAS3,41.62909155628042,43.39748192936064,41.544477646270224,42.64443588256836,23691700,42.02770572238498,41.868038076067066,0.7824356655257938,43.6600948445681,40.53035218246493,52.443003628240575,43.55824279785156,40.82527160644531,41.925228118896484
2020-02-06,BBAS3,43.15210226006381,43.194407597133655,41.671392868787116,41.925228118896484,9662900,41.91018931070963,41.87028082284469,0.7408064444340094,43.639142199614646,40.675916421878604,48.59389490797824,43.55824279785156,40.82527160644531,41.967525482177734
2020-02-07,BBAS3,41.925220153145865,42.57673254884374,41.67984472599542,41.967525482177734,7795000,41.84437772962782,41.874094338896974,0.7404559152333537,43.49383047615208,40.53200681521866,48.81864329973192,43.55824279785156,40.82527160644531,41.55293273925781
2020-02-10,BBAS3,42.060603191893804,42.29751886712195,41.358325624824346,41.55293273925781,7785300,41.69395489162869,41.8614997663621,0.7337090685323925,43.35034195686681,40.41550568273724,46.57110557668639,43.55824279785156,40.82527160644531,43.42285919189453
2020-02-11,BBAS3,42.2382904177679,43.702080219333475,42.035223513894344,43.42285919189453,18096500,41.86881891886393,41.92272954775553,0.7956423980669953,43.55266584138879,40.370096249120806,56.424874314577636,43.55824279785156,40.82527160644531,43.676700592041016
2020-02-12,BBAS3,43.88823052954486,44.30283062723631,42.87288618398826,43.676700592041016,16617100,42.03992462158203,41.99151272596281,0.8687155368843504,43.768808692731774,40.293946545194366,57.551985208119945,43.676700592041016,40.82527160644531,42.99980545043945
2020-02-13,BBAS3,43.44824788522084,43.60901270349393,42.68674204659344,42.99980545043945,13806300,42.25427500406901,42.03105361711876,0.8858534936953403,43.907695743050304,40.364281768268945,53.49854685891025,43.676700592041016,40.82527160644531,42.1790657043457
